0.889933.4375
1.1528014.375
2.2094558.375
3.2627105.5
4.3175402.5
5.3674622.25
6.4209748.0
7.4727231.0
8.5268872.5
9.5769597.5
10.6278145.5
11.6821424.0
12.7310899.0
13.7796969.5
14.8294218.5
