0.8794720.0
1.16061375.0
2.22812042.0
3.29670254.0
4.35967424.0
5.42282460.0
6.47850820.0
7.54065100.0
8.60301116.0
9.65883108.0
10.69113736.0
11.71126624.0
12.73557368.0
13.75557064.0
14.77561256.0
15.79652664.0
16.81848640.0
17.83883208.0
18.86297200.0
19.88508632.0
