0.817788.625
1.1467746.625
2.2029725.75
3.2538130.0
4.3081326.0
5.3574144.25
6.4096876.5
7.4570499.0
8.5060772.5
9.5576194.0
10.6025484.5
11.6502217.5
12.7002734.0
13.7523698.5
14.8031460.5
15.8489382.0
16.8937916.0
17.9335823.0
18.9819886.0
19.10272468.0
20.10699007.0
21.11148416.0
22.11596548.0
23.12019866.0
24.12482727.0
25.12905960.0
26.13340463.0
27.13799133.0
28.14242414.0
29.14715851.0
30.15242287.0
31.15701771.0
32.16140945.0
33.16529497.0
34.16938456.0
35.17315420.0
36.17701692.0
37.18073542.0
38.18428662.0
39.18811800.0
40.19185152.0
41.19540896.0
42.19944074.0
43.20318362.0
44.20670920.0
45.21108980.0
46.21487358.0
47.21855934.0
48.22237440.0
49.22615080.0
50.23009042.0
51.23370036.0
52.23729886.0
53.24088118.0
54.24453328.0
55.24841810.0
56.25191134.0
57.25548850.0
58.25925812.0
59.26289896.0
60.26672652.0
61.27039560.0
62.27399650.0
63.27786810.0
64.28157854.0
65.28545042.0
66.28945102.0
67.29317364.0
68.29696606.0
69.30056800.0
70.30432004.0
71.30806272.0
72.31185352.0
73.31555794.0
74.31934282.0
75.32282572.0
76.32637918.0
77.32986618.0
78.33364272.0
79.33663856.0
80.33921684.0
81.34181552.0
82.34438264.0
83.34680688.0
84.34923192.0
85.35181284.0
86.35446212.0
87.35702872.0
88.35947084.0
89.36197772.0
90.36450620.0
91.36718304.0
92.36961128.0
93.37230976.0
94.37485572.0
95.37747236.0
96.38009452.0
97.38270360.0
98.38523744.0
99.38791748.0
100.39044300.0
101.39304236.0
102.39568284.0
103.39825192.0
104.40091780.0
105.40350736.0
106.40621028.0
107.40875488.0
108.41125112.0
109.41400748.0
110.41652572.0
111.41887952.0
112.42148704.0
113.42434768.0
114.42696488.0
115.42962036.0
116.43217628.0
117.43477124.0
118.43730972.0
119.43971576.0
120.44239264.0
121.44498128.0
122.44740988.0
123.44998320.0
124.45250424.0
125.45508144.0
126.45774988.0
127.46035160.0
128.46282844.0
129.46523620.0
130.46777284.0
131.47042168.0
132.47265548.0
133.47520848.0
134.47791400.0
135.48037864.0
136.48301968.0
137.48529732.0
138.48773688.0
139.49029164.0
140.49272524.0
141.49536380.0
142.49801460.0
143.50045300.0
144.50286156.0
145.50523840.0
146.50777692.0
147.51039484.0
148.51280856.0
149.51540968.0
