fqdn,tfidf
sc-prod.net,5.1045924238094855
sc-jpl.com,5.103353018434179
agkn.com,5.088611663797451
mathtag.com,5.079317104162031
akamaihd.net,5.050019038618995
imrworldwide.com,5.042658622080063
facebook.net,5.031361769529676
aol.com,5.017330637442958
pinterest.com,5.012262142069204
googletagmanager.com,4.9563686121095865
me.com,4.948288056037424
pubmatic.com,4.939966108671859
mopub.com,4.9038048164439
appspot.com,4.884637720286129
xboxlive.com,4.883600820785627
criteo.com,4.8728844890048775
vzwwo.com,4.866860077439716
dishanywhere.com,4.863549423260887
openx.net,4.862910247981394
ggpht.com,4.852595804619867
windows.com,4.8523867217534455
apple.news,4.845379739483472
advertising.com,4.822503464712526
fbsbx.com,4.81121458585264
sc-cdn.net,4.811185226043281
0.0,4.81030483235264
casalemedia.com,4.794054799065629
rubiconproject.com,4.7934200646470035
flurry.com,4.792050987791286
nflxso.net,4.758475122490509
onenote.net,4.753215680663031
twitter.com,4.734038984251136
fastly.net,4.729735763760828
adsrvr.org,4.706772488660636
avast.com,4.69503242029689
dropbox.com,4.688475446871809
gvt2.com,4.685873282409525
doubleverify.com,4.6784199172383785
appsflyer.com,4.677576156413773
office365.com,4.672681848117253
2mdn.net,4.672085578193754
bigrivernational.com,4.656144374725875
outlook.com,4.642489117855112
169.254,4.604547946144237
adsafeprotected.com,4.5969595974764115
169,4.587188659385679
dtvce.com,4.561088321769552
adnxs.com,4.522554317311942
yahoodns.net,4.504240510434261
demdex.net,4.501691428466714
digicert.com,4.4909554960365945
msftncsi.com,4.451745030237361
mcafee.com,4.448726605335791
ntp.org,4.4226496574239444
msedge.net,4.365432998579687
scorecardresearch.com,4.338479905269484
echostarbeta.com,4.297488466148334
dishaccess.tv,4.294953521607819
bing.com,4.2945652225425945
samsung.com,4.271225223371411
skype.com,4.266729759625625
app-measurement.com,4.246332042708161
googleusercontent.com,4.243762436249503
instagram.com,4.1830660093511955
amazon-adsystem.com,4.179240388169596
msn.com,4.167439193666208
weather.com,4.098114438001903
moatads.com,4.067686529498679
snapchat.com,4.064889370367336
googlesyndication.com,3.912798629191675
googleadservices.com,3.9066978453395302
akamai.net,3.8923688651338213
google-analytics.com,3.8910869900259684
ytimg.com,3.8732958424130093
roku.com,3.8155870951542576
live.com,3.7940091471484956
googlevideo.com,3.7925963441621575
0.1,3.7107998988229585
youtube.com,3.6778677510561253
gmail.com,3.58777627812358
apple-dns.net,3.5651387007068167
crashlytics.com,3.30983217265111
yahoo.com,3.2845880478387826
cloudfront.net,3.260363936364551
netflix.com,3.193277868912909
fbcdn.net,3.165713967851813
gstatic.com,3.108376732583043
akamaiedge.net,3.036745219693197
doubleclick.net,2.9606253820810653
amazonaws.com,2.909152050288845
sling.com,2.900654414828086
aaplimg.com,2.7924857505896608
akadns.net,2.7363551601434617
amazon.com,2.7086849543554923
microsoft.com,2.6112426227756727
icloud.com,2.591756678749459
facebook.com,2.3726404288059193
googleapis.com,2.158018316748041
google.com,1.8930963523896682
apple.com,1.8772323702225067
